Complaint ID,Date Received,Banking Product,Department,Issue ID,Complaint Description,State,ZIP,Bank Response
CID91696272,1/2/2023,Checking or savings account,CASA,I_5781460,bank abc need let resolve fee account,,79902,Closed with explanation
CID77717223,1/2/2023,,,I_2611782,xxxxxxxx noticed <NUM> charge xxxx xxxx xxxx make bank abc debit card opened claim bank told would take <NUM><NUM> day resolve claim xxxxxxxx got notice email say claim denied crime committed identity know culprit is tried file police report xxxx xxxx police department interested say refused take report found xxxxxxxx bank denied claim made one attempt call police spoke xxxx xxxx xxxx xxxx xxxx police non emergency took report gave claim number bank refund xx<NUM><NUM><NUM> account promise take back xxxxxxxx say xxxx say ordered guitar equipment mailed home want bank abc leave money account upset call bank cant get direct answer,Maryland,,Closed with monetary relief
,1/2/2023,Credit card or prepaid card,Credit Cards,I_6355741,cfpb bank abc closed account refuse open it even though complied demand id issue xxxx reason keep fund me fought going bank <NUM> form id covidxx underlying health problem gone anywhere since beginning whole covid mess said way around would xxxx send usid form called xxxx least <NUM> occasion representative spoke id department told would send still phone would instantly available bank abc see immediately open account bofa denies every receiving communication xxxx finally went bank need money pay rent die went bank first bank spoke branch manager told could verify account them said verify prepaid customer call number back card get verified phone thought couldnt right told phone go branch would verify me drove different bofa thinking branch manager misinformed jerk second bank manager spoke said thing totally furious went home swore dealing bank abc ever again principle received eviction notice today fortunately brother sending money pay rent barely better financial situation am need repay soon possible pay rent bofa would reopen account closed notice explanation wouldnt problem called bank abc today told went bank <NUM> form id told could verify dont account there representative spoke phone told would file complaint branch manager misinformed go bank <NUM> form id told would tell thing call bofa tell go bank hopefully see frustration understand tried every way repeatedly bank wont open account dont know else going month please help me thank attention matter xxxx xxxx,,91401,Closed with explanation
CID53520335,1/3/2023,Checking or savings account,CASA,I_6431567,able open bank account due someone using information fraud,New Jersey,,Closed with explanation
CID93478530,1/3/2023,Credit card or prepaid card,Credit Cards,I_9017186,total amount disputed approx xxxx date range xxxx xxxx bank abc edd prepaid card service inquired representative phone could still file claim took place previous year representative said yes eligible file claim submit review already previously filed claim one multiple charge approved time filed it anticipating result informed bank abc via written notice <NUM><NUM><NUM> day federal regulation prevented completing claim denied would representative access information relayed information would investigated accordingly still able processed,,91326,Closed with explanation
CID94156132,1/3/2023,Credit card or prepaid card,Credit Cards,I_2292291,xxxxxx<NUM><NUM> alerted bank abc flagged several charge potentially fraudulent immediately responded flagged charge indeed fraudulent charge dispure xxxxxx<NUM><NUM> <NUM><NUM><NUM><NUM> xxxx xxxx xxxx xxxx ca xxxxxx<NUM><NUM> <NUM><NUM><NUM><NUM><NUM> xxxx xxxx xxxx xxxx ca xxxxxx<NUM><NUM> <NUM><NUM><NUM><NUM> xxxx xxxx xxxx xxxx ca xxxxxx<NUM><NUM> <NUM><NUM><NUM><NUM> xxxx xxxx xxxx ca bank abc refused reverse charge written bank abc three occassions advising neither anyone authorized used credit card xxxx ca xxxxxx<NUM><NUM> indeed xxxx id date filed police report xxxx xxxx sheriff department notwithstanding assertion charge fraudulent bank abc form letter reply confirmed card used charge chip read pin entered andor signed merchandise service indicates someone allowed use card present bank abc errorthe charge question incurred anyone authorized me demand hereby made bank abc reverse charge,California,,Closed with monetary relief
CID94151296,1/3/2023,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_7782152,bank abc mortgage xx year never late house paymentin xxxx xxxx husband passed away lost income except social securityin xxxx xxxx applied modification loan bank abcthey make three trial payment <NUM><NUM><NUM><NUM><NUM> xxxx xxxx xxxx <NUM><NUM><NUM><NUM><NUM> less normal payment told several time even paper work could make anything amounti called several time ask payment still receiving old amount assured would fall place three month upafter new loan amount went thru put <NUM> late payment credit report xxxx xxxx xxxx affected credit report muchi disputed thru xxxx xxxx result told manger bank abc changing itof course effecting trying find cheaper insurance anything elsei really need help this,Oklahoma,73099,Closed with explanation
CID62519898,1/3/2023,Credit card or prepaid card,Credit Cards,I_9017186,xxxxxx<NUM><NUM> went pump gas card decline went inside gas station gentleman able run <NUM><NUM> dollar went store next gas station purchase item card decline called bank abc see going lady spoke said card freeze went ahead unfroze card realizing someone xxxx xxxx run transaction see balance later night tried make purchase declined took <NUM><NUM><NUM><NUM><NUM> bill pay tomorrow said wait xxxx made police report also going tomorrow bank made transaction see camera thanks help,California,92346,Closed with monetary relief
CID51748699,1/3/2023,Checking or savings account,CASA,I_2611782,purchased xxxx life insurance policy insurance agent end receiving xxxx separate insurance policy mail call guy explain interest helping me contact xxxx xxxx policy authorize want refund money either contact bank bank abc explain situation them send letter showing document xxxx xxxx name typed line claiming signature not find hard believe bank see signature printed signed me xxxx xxxx took xxxx payment <NUM><NUM><NUM><NUM> checking account bank abc request life insurance policy xxxx xxxx right authorization take money account would like refund,Illinois,60656,Closed with explanation
,1/3/2023,,,I_6355741,bank abc closed account longer work xxxx xxxx clearly stated would able use card xxxxxx<NUM><NUM> im upset bank abc lied tried say xxxx closed account rep bank abc clear daxxxx stated bank abc bank want reverify xxxx xxxx stated able walk branch receive fund thiis bank bank abc saying cant anything verifiy balance still account believe xxxx rep bank bank abc closed account without warning demand reopened need fund right force close anything fund claiks still,,48207,Closed with monetary relief
CID59078685,,Credit card or prepaid card,Credit Cards,I_7000941,auto sys unbearable xxxx dont anything put back sys take personal info result card lost way close fidutiary responsibility would requested new card based upon bad service is emergency wouldnt trust trust want closed,California,92128,Closed with non-monetary relief
CID53993044,,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_3798538,filled dispute regard incorrect item credit report well <NUM><NUM> day received investigation result,New York,10031,Closed with explanation
CID93674140,1/3/2023,Checking or savings account,CASA,,xxxxxx<NUM><NUM> deposited around <NUM>xx<NUM><NUM> bank abc see address atm accepted showed deposit amount onscreen deposited <NUM><NUM><NUM><NUM><NUM><NUM> that <NUM> deposit since lot cash looked statement online next day confirm transaction <NUM><NUM><NUM><NUM><NUM><NUM> amount present <NUM>xx<NUM><NUM> wasnt called talked associate open investigation investigation result came back week later favor bank spoke banking manager xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx nv xxxx branch took case enthusiasm hopeful early xxxx investigation came back evidence deposit certain made deposit unfortunately thing happened month later amount <NUM><NUM><NUM><NUM><NUM> thankfully returned me <NUM>xx<NUM><NUM> said checked machine camera evidence go save heresay failed grab receipt take picture presence mind something like could happen several investigation refused give back <NUM>xx<NUM><NUM> written ceo bofa twice time xxxx xxxx xxxx reply leaf number call person number,Nevada,,Closed with monetary relief
CID65229144,,"Money transfer, virtual currency, or money service",Remittance,,xxxxxxxx victim scam late evening xxxxxx<NUM><NUM> sent <NUM><NUM><NUM><NUM><NUM> breeder exchange kitten following morning requested another <NUM><NUM><NUM><NUM><NUM><NUM> send kitten never mentioned called bank claimed transaction scamfraud less <NUM><NUM> hour initial transaction transaction account stated pending <NUM> day later email name receiver scam made police claim right away advised forward claim consumer finance service help back would decline return money claim number bank xxxx claim denied turning help single mother ripped money hope surprise child xxxx please help me,Illinois,60068,Closed with explanation
,1/4/2023,Checking or savings account,CASA,I_3648593,contacted bank abc s fraud department series transaction <NUM> suspicious contacted early morning time stated make charge however aware time found later someone broken car stole briefcase card inside since <NUM><NUM> day gone without asked additional information thought since reg e gave financial institution limited time investigate respond claim finalized except got call bofa <NUM><NUM> day agent said since stated initially card possession claim going declined chip present could explain agent later found someone broken car call conveniently disconnected immediately called back xxxxxx min hold told claim going declined anyway fraudulent transaction expected gas station charge xxxx xxxx xxxx xxxx <NUM><NUM><NUM><NUM> subsequent transaction xxxx declined bofa presentative finally able talk said filed police report said would requirement said always suggest people rest public see complaint first time filed dispute declined bank abc practice making literally impossible provide information request investigation done making impossible call back get hold someone placing hold hour representative fraud dept leave message call back answer voice mail box full able provide information requesting aid claim and therefore get denied claiming provide information requested practice fit pattern deceptive abusive discriminatory every level,,94010,
,1/4/2023,Credit card or prepaid card,Credit Cards,I_2292291,xxxxxx<NUM><NUM> bank abc withdrew checking account amount <NUM><NUM><NUM><NUM><NUM><NUM><NUM> instead amount xx<NUM><NUM><NUM> thru electronically payment xxxx notice error checking account minus call boa made aware error acknowledged told return monies back account within <NUM><NUM> day <NUM><NUM> day called done so told done return bank regulation today called got roundabout time told money within <NUM><NUM> day already money <NUM><NUM> day possibility getting back even possible mean time cost xx<NUM><NUM><NUM> return late fee check already gone out,,11361,Closed with monetary relief
,,Checking or savings account,CASA,I_5781460,xxxx<NUM><NUM> opened saving account branch could better manage money told wouldnt charged fee account didnt transfer money account allowed time per month xxxx noticed fee charged <NUM><NUM><NUM> idea why reached bofa told message xxxx asked fee waived could avoid fee future called xxxx id dyyjc today rude combative beginning let know never given information pertaining fee charged said may promotional period account prevent fee advised never got email letter paper branch opened account im college student taking care mother recovered xxxx xxxx still refused waive fee told im liable even though ive never fee waived prior reference account first time ive requested fee waived robbery bofa tell im liable fee idea about middle pandemic <NUM><NUM><NUM> fee enough food gas yet bofa decides nickel dime reasonable explanation waived fee told prevent it wouldve satisfied however nothing sort,,89122,Closed with monetary relief
CID73218551,1/4/2023,Credit card or prepaid card,Credit Cards,I_6355741,xxxx violating law victim identity theft card used without permission immediately reached company start claim fraudulent activity day later called follow informed claim closed asked claim closed unable give viable reason explained right know investigation method used ground close claim factual basis support denying claim believe company denied claim evade responsibility provide provisional credit within allotted <NUM><NUM> day right law xxxx abiding law government place protect consumer losing money fraudulent transaction insistent reopening claim even unable furnish information used deny claim sole reason wanted reopen claim wanted another <NUM><NUM> day investigate unethical behavior taking place financial institution united state third request reopen claim without information closed xxxx keeping money rightfully owed need survive time <NUM><NUM> day process total provisional credit <NUM><NUM> day going <NUM> plus month zero explanation implied going make complaint request dismissed completely,California,90036,Closed with explanation
CID54140290,1/4/2023,Mortgage,Mortgage,,pandemic household hardship requested assistance ended xxxx<NUM><NUM> trying work bank abc since time originally asked modification increased piti <NUM><NUM> xxxx<NUM><NUM> requested deferment followed instruction provided opt flex modification request deferment verification fax received day refax two time later month delivered asked knew could afford monthly payment asked financial information told financial interview done xxxx<NUM><NUM> then number phone call told xxxx<NUM><NUM> financial interview call taking application phone done day provided financial information income debt etc received call xxxx<NUM><NUM> explained applied consideration loss mitigation option xxxx<NUM><NUM> told assigned underwriter forward underwriter time spoken <NUM> different people direct point contact least one direct phone number voicemail reach supposedly name assigned phone call like starting accomplishes nothing xxxx<NUM><NUM> made final attempt reach told would mail another application fill return question is happened financial information provided xxxx<NUM><NUM> phone answer question,Illinois,,
CID50363189,1/4/2023,"Money transfer, virtual currency, or money service",Remittance,I_6329587,xxxx xxxx sent xxxx bank abc saving account account number xxxx xxxx xxxx account account number xxxx thru xxxx registered number xxxx registered email xxxx day xxxx action complete posted received amount money xxxx xxxx account sure something wrong happened transaction,,,
CID87132270,1/4/2023,Checking or savings account,CASA,I_6431567,reached bank abc xxxxxxxx xxxx xxxx spoke representative arkansas told opened account back xxxxxxxx reason opening account advertised would xx<NUM><NUM><NUM> credit account spend <NUM><NUM><NUM><NUM><NUM><NUM> within <NUM><NUM> day according fine print realized never received it looking account spent amount way <NUM><NUM> day credited account representative mentioned apply promotion late told promotion honored fault credited account asked speak manager manager xxxx would speak would tell representative say avoid talking me asked speak manager twice representative made excuse him unprofessional honored account escalating matter court false advertisement misleading wondering many people happened too,California,92507,Closed with explanation
CID49962069,,Credit card or prepaid card,Credit Cards,I_4015796,xxxxxx<NUM><NUM> received bank abc debit visa card account bank abc called inquire card mailed me number called wasxxxx told contact xxxx xxxx xxxx xxxx xxxx representative said phone number search internet number want know bank abc sent prepaid debit card never requested would like ensure happen again also freeze credit understand card approved send me thanking advance assistance matter,New York,11704,Closed with explanation
CID91210051,1/4/2023,Checking or savings account,CASA,I_3510635,business account boa owner company usually use mobile phone deposit customer check xxxxxx<NUM><NUM> used mobile phone deposit check <NUM><NUM><NUM><NUM><NUM><NUM><NUM> next day log online bank casually called boa said account closed fund reviewed relevant department boa review balance <NUM>xx<NUM><NUM><NUM><NUM> would sent check nearly four month now boa still sent check every time call say reviewing cant reply review end question want get money back soon possible return last <NUM><NUM><NUM><NUM><NUM><NUM><NUM> customer paid me please help me thank,,92606,Closed with explanation
CID92199229,1/4/2023,Credit card or prepaid card,Credit Cards,,xxxxxxxx xxxxy bank abc credit card ending xxxx used number website without permission card possession appears charge online merchant xxxxxxxx notified bank abc disputed charge issued new card credited disputed amount xxxxxxxx bank abc notified reinstating one charge history making purchase merchant merchant xxxx charge question <NUM><NUM><NUM><NUM><NUM> although like <NUM><NUM><NUM> million abcns month purchase quite bit retailer make purchase offered show bank abc entire purchase history merchant declined,Tennessee,37363,Closed with explanation
CID80997368,1/5/2023,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_7782152,xxxxxxxx bank abc account opened without consent account currently reporting consumer report outstanding balance account also phone number address associated to account number xxxx,Florida,33132,
,1/5/2023,Credit card or prepaid card,Credit Cards,I_2292291,xxxx logged online banking see higher expected balance discover charge authorized me posted xxxx vimbly <NUM><NUM><NUM><NUM><NUM> xxxx xxxx texas <NUM><NUM><NUM><NUM> stereo shop <NUM><NUM><NUM><NUM><NUM><NUM> lowescom charge xxxx saw that called bank notified authorized took <NUM> flagged them issued fraud dispute credit those day later check see xxxx charge never left pending dropped off must caught fast enough process somehow xxxx store charge <NUM><NUM><NUM><NUM> completed xxxx flagged fraudulent given <NUM><NUM><NUM><NUM> credit xxxxxxxx realized incorrectly labeled fraudulent spoke fraud specialist notified <NUM><NUM><NUM><NUM> valid took charge approved called explaining told see happened reopened claim called today xxxxxxxx claim still listed resolved still fraudulent charge finance charge applied account informed case reopened today take <NUM><NUM> day reach determination meanwhile first time case opened credited next dayi,,33629,Closed with monetary relief
,1/5/2023,,Remittance,I_6329587,requested wire transfer account xxxx recipient bank abc recipient investment fund wired money numerous time previously requested wire transfer xxxxxx<NUM><NUM> xxxx xxxxxxxx bank abc made sort xxxx related request xxxx xxxx complied xxxxxxxx xxxxxxxx received email recipient saying received money so two week requesting wire cost <NUM><NUM><NUM><NUM> one either institution contacted tell normallyalmostinstant wire transfer delayed xxxxxxxx confirmed xxxx money transferred bank abc two week earlier day called bank abc followup money wa never mind there easy contact anyone follow all bank abc account customer service line require enter bank account number obviously eventually called someone investor relation line routed someone could assist person said money released believe bank abc released fund contacted complain before holding fund wire transfer two week unacceptable unacceptable zero communication happened given claim xxxx issue bank abc s prior discriminatory treatment xxxx including closing bank account believe targeted basis religion ethnic background xxxx name bank abc course claim discriminate based religion ethnicity course xxxx name used xxxx screening name serve proxy religious ethnic discrimination direct disparate impact xxxx,Georgia,,Closed with explanation
,1/5/2023,Checking or savings account,CASA,I_3648593,current complaint xxxx bank abc called xxxxxx<NUM><NUM> confirming receipt complaint xxxx xxxx xxxx xxxx xxxx advised bank abc would calling update resolution issue xxxxxx<NUM><NUM> received response date given number call work extension work xxxx ext xxxx option speak someone,New York,10472,Closed with monetary relief
CID77952173,1/5/2023,,Mortgage,I_9057781,would like report recent experience refinancing loan help xxxx xxxx xxxx id xxxx caused enormous agony wasted lot time appraisal cost opportunity gain refinancing earlier started refinance sometime xxxxxx<NUM><NUM> submitted competing offer match promised offer matched term estimated cash close provided loan disclosure always told happen closing bofa big trusted bank choose believe that however xxxx many call follow up finally got closing disclosure promised beyond that office dishonestly tried sell better offer cash close lower pointed two different thing given inconsistent reasoning xxxx competing offer hadnt gone underwriting requirement anywhere even bofa mentioned subsequent mail lender agreed fair offer xxxx next reason price best bofa do point ok time effort invested mislead beyond could accept canceled application since new company within two week closing disclosure match original term requested,California,92130,Closed with explanation
CID97616560,1/5/2023,,,I_4921263,enrolled covid forbearance ended xxxxxx<NUM><NUM> led belief past due payment would added backend loan however offered trail modification could afford since payment would increased almost xx<NUM><NUM><NUM><NUM> dollar more opt xxxx reinstate mortage back normal servicing paying past due amount bank misapplied payment since xxxx state still past due made payment bring account current paid upon xxxx bank applied payment escrow also suspense account related mortgage payment applied correctly principal interest escrow also bank correctly conduct correct escrow analysis date please assist bank since date able resolve bank applied payment correctly per xxxxxx<NUM><NUM> mortgage statement owed <NUM><NUM><NUM><NUM><NUM><NUM><NUM> payment made <NUM><NUM><NUM><NUM><NUM><NUM> <NUM><NUM><NUM><NUM><NUM><NUM> <NUM>xx<NUM><NUM><NUM> xx<NUM><NUM><NUM><NUM> xx<NUM><NUM><NUM><NUM><NUM> <NUM>xx<NUM><NUM><NUM> <NUM><NUM><NUM><NUM><NUM><NUM> <NUM><NUM><NUM><NUM><NUM><NUM><NUM> total paid <NUM><NUM><NUM><NUM><NUM><NUM><NUM> <NUM>xx<NUM><NUM><NUM> payment posted correctly please contact xxxx xxxx authorized speak behalf xxxx,Florida,33029,Closed with explanation
CID58533689,1/5/2023,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_3798538,xxxx xxxx submitting cfpb complaint myself bk abc reporting late reported xxxx xxxx let correct immediately bureau required verify themselves failed neither verify update complaint bk abc xxxx,New York,11221,Closed with explanation
CID71757031,1/5/2023,,Remittance,I_1514870,filing complaint behalf xxxx xxxx xxxx account holder authorized signer account filing consumer complaint bank abc xxxx located xxxx xxxx xxxx xxxx xxxx nc xxxx reference claim original number xxxx also submitted claim own asking reconsideration case number xxxx debited usd xxxx usd xxxx respectively business account informed xxxx xxxx xxxx xxxx xxxx customer sold consulting service to following date paid via bofa internal transfer company account xxxx xxxx xxxxxxxx invoice xxxx xxxx xxxxxx<NUM><NUM> invoice no xxxx amount usd xxxx xxxxxx<NUM><NUM> xxxx xxxx xxxx amount usd xxxx invoice payment made day account via bofa internal transfer buyer s account name show statement <NUM><NUM> day later xxxxxx<NUM><NUM> two debit show account amount called bank get information calling online fraud investigation hotline xxxx informed customer xxxx xxxx xxxx xxxx claimed transaction fraudulent xxxxxx<NUM><NUM> implausible transaction fraudulent since authorized go twofactor authentication account holder s registered cellphone calling bank manual phone authorization release transfer email alert andor thing username password compromised sound implausible without cooperation claimantaccount holder short suspect chargeback fraud scheme enacted upon customeraccount holder bank helped perpetrator authorizing illegitimate chargeback furthermore provided kind detail factor take account making decision debit account chargeback and importantly debit never put temporary hold making definite allow time defend myselfstate case bank look forward solving matter reinstating money <NUM><NUM><NUM><NUM><NUM><NUM> back account name xxxx xxxx xxxx regard,Florida,32819,Closed with explanation
CID81903272,1/5/2023,Checking or savings account,CASA,I_3648593,xxxx<NUM><NUM> received boa email confirming request transfer <NUM><NUM><NUM><NUM><NUM> xxxx xxxx xxxx immediately called boa advised receipt email fraudulent request made routed <NUM> office landed fraud office advised office made transfer request office advised bank received customer complaint fraudulent request accordance office s request forwarded fraudulent email confirming fraudulent request transfer <NUM><NUM><NUM><NUM><NUM> checking account despite notice fraudulent activity boa proceeded deduct <NUM><NUM><NUM><NUM><NUM> checking account charged <NUM><NUM><NUM> service fee evening xxxxxxxx called boa routed <NUM> office advising fact indicated above boa refused credit account <NUM><NUM><NUM><NUM><NUM> improperly deducted boa provided information whereabouts <NUM><NUM><NUM><NUM><NUM> improperly deducted checking account advised boa desperate need fund pay grocery avail,Maryland,20748,Closed with explanation
CID66535133,,Checking or savings account,CASA,,independent consultant xxxx xxxx xxxx xxxxxxxx xxxx xxxx xxxx started claimed hypoallergenic well lead nickel free purchased <NUM><NUM><NUM><NUM><NUM><NUM><NUM> worth product find loaded toxic substance testing came back monday xxxx xxxx showing product full lead nickel toxic level cadmium antimony arsenic misrepresented product buying them called bank xxxxxxxx advised could go back one <NUM> year claim disputed transaction dating back one year xxxxxxxx xxxxxxxx offered supporting document show product misrepresented said necessary fast forward xxxxxxxx deny claim stating past statute limitation arkansas <NUM> year claim denied regarding charge back want appealed merchant xxxxxxxx one question lab certified result showing proof repeatedly asked lab testing result yet receive reply also asked refund received reply either illegal pyramid scheme similar xxxx,Arkansas,72404,Closed with explanation
CID50206865,1/5/2023,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_7782152,xxxx xxxx submitting cfpb complaint myself swayed bureau efficiently pleased principle fair credit reporting act completing investigation bureau reporting inaccurate information bk amer per fcra reporting must <NUM><NUM><NUM> accurate information must deleted bk abc xxxx bk abc xxxx,,92627,
